candidate_id,corpus_id,expanded_id,title,doi,path,pages,encrypted,metadata_title,title_token_coverage,correspondence,text_sha256,error
DCM-00014-AX0001,DCM-00014,,MindfulDiary: Harnessing Large Language Model to Support Psychiatric Patients' Journaling,https://doi.org/10.1145/3613904.3642937,library/staging/master-arxiv/DCM-00014-AX0001-MindfulDiary-Harnessing-Large-Language-Model-to-Support-Psychiatr.pdf,20,false,,1.000,true,0709fd5b36e4721ef890fd01419eba6590f8bf6c8a313b0e60d542f72645243e,
DCM-00063-AX0002,DCM-00063,,CritiqueCrew: Orchestrating Multi-Perspective Conversational Design Critique,https://doi.org/10.1145/3772318.3791391,library/staging/master-arxiv/DCM-00063-AX0002-CritiqueCrew-Orchestrating-Multi-Perspective-Conversational-Desig.pdf,20,false,CritiqueCrew: Orchestrating Multi-Perspective Conversational Design Critique,1.000,true,a05ca10001b8e8d77a476454781626f575d049499215ddc2562697f0c6a5c17c,
DCM-00129-AX0003,DCM-00129,,The Programmer’s Assistant: Conversational Interaction with a Large Language Model for Software Development,https://doi.org/10.1145/3581641.3584037,library/staging/master-arxiv/DCM-00129-AX0003-The-Programmer-s-Assistant-Conversational-Interaction-with-a-Larg.pdf,43,false,The Programmer's Assistant: Conversational Interaction with a Large Language Model for Software Development,1.000,true,d9fb1c8feee65aad1f53adf15d2b282f5fc473b66741176eead437f54e2ced9a,
DCM-00134-AX0004,DCM-00134,,What Makes a Good Conversation? Challenges in Designing Truly Conversational Agents,https://doi.org/10.48550/arxiv.1901.06525,library/staging/master-arxiv/DCM-00134-AX0004-What-Makes-a-Good-Conversation-Challenges-in-Designing-Truly-Conv.pdf,12,false,What Makes a Good Conversation? Challenges in Designing Truly Conversational Agents,1.000,true,6d81f72702cad32c36bfb658d030f3bd3da947fadb7eb3d8d04be9a18c6cfd72,
DCM-00145-AX0005,DCM-00145,,How do you Converse with an Analytical Chatbot? Revisiting Gricean Maxims for Designing Analytical Conversational Behavior,https://doi.org/10.1145/3491102.3501972,library/staging/master-arxiv/DCM-00145-AX0005-How-do-you-Converse-with-an-Analytical-Chatbot-Revisiting-Gricean.pdf,17,false,How do you Converse with an Analytical Chatbot?  Revisiting Gricean Maxims for Designing Analytical Conversational Behavior,1.000,true,37a149dffbc7c26b1f59de255fa4550b9881fb959fcd394f15d9fe1b1373734e,
DCM-00175-AX0006,DCM-00175,,Towards Augmented Reality Driven Human-City Interaction: Current Research on Mobile Headsets and Future Challenges,https://doi.org/10.1145/3467963,library/staging/master-arxiv/DCM-00175-AX0006-Towards-Augmented-Reality-Driven-Human-City-Interaction-Current-R.pdf,39,false,,1.000,true,cf85d3eec75a5c0122bbd81dec51d605a7d93285420147fcbdca5f5e8377180a,
DCM-00207-AX0007,DCM-00207,,Examining Humanness as a Metaphor to Design Voice User Interfaces,https://doi.org/10.1145/3640794.3665535,library/staging/master-arxiv/DCM-00207-AX0007-Examining-Humanness-as-a-Metaphor-to-Design-Voice-User-Interfaces.pdf,22,false,Examining Humanness as a Metaphor to Design Voice User Interfaces,1.000,true,990a9779da4b94ee7a9a7a943a9d17c1ca55541ecebaeca396b09b0ce07ad4c7,
DCM-00308-AX0008,DCM-00308,,"“Alexa, Can I Program You?”: Student Perceptions of Conversational Artificial Intelligence Before and After Programming Alexa",https://doi.org/10.1145/3459990.3460730,library/staging/master-arxiv/DCM-00308-AX0008-Alexa-Can-I-Program-You-Student-Perceptions-of-Conversational-Art.pdf,16,false,"``Alexa, Can I Program You?'': Student Perceptions of Conversational Artificial Intelligence Before and After Programming Alexa",1.000,true,f86b762ceea7423e7c7c5b95a466678f58b6d70e6b6ca27c2ecabc3796879390,
DCM-00353-AX0010,DCM-00353,,Conversational Agents in Therapeutic Interventions for Neurodevelopmental Disorders: A Survey,https://doi.org/10.1145/3564269,library/staging/master-arxiv/DCM-00353-AX0010-Conversational-Agents-in-Therapeutic-Interventions-for-Neurodevel.pdf,39,false,Conversational Agents in Therapeutic Interventions for Neurodevelopmental Disorders: A Survey,1.000,true,79f547da2d1ec4dec90bb1370cdde49795abdbfdf6a1f5d038478e7c3c4bb247,
DCM-00359-AX0009,DCM-00359,,"Understanding User Preferences for Interaction Styles in Conversational Recommender System: The Predictive Role of System Qualities, User Experience, and Traits",https://doi.org/10.1145/3764687.3764722,library/staging/master-arxiv/DCM-00359-AX0009-Understanding-User-Preferences-for-Interaction-Styles-in-Conversa.pdf,21,false,"Understanding User Preferences for Interaction Styles in Conversational Recommender Systems: The Predictive Role of System Qualities, User Experience, and Traits",1.000,true,a113bc6d3c6c86e4a218ca6944e067a35e5acb64c46901a08024cf0e75659725,
