expanded_id,title,doi,url,license,oa_status,path,downloaded,pdf_signature,bytes,sha256,content_type,retrieved_at,error
X013,Conversation Design for Raising Awareness on the Responsible Use of the Internet,https://doi.org/10.1007/978-3-031-49811-4_74,https://link.springer.com/content/pdf/10.1007/978-3-031-49811-4_74.pdf,cc-by,hybrid,library/staging/expanded/B01/X013-Conversation-Design-for-Raising-Awareness-on-the-Responsible-Use-of-the-Internet.pdf,true,true,1017143,068b99258bd9bcbf4f0b4ad02a7a0bfbe21ed7954e392820a1fa8987d830632c,application/pdf,2026-08-31T23:45:45.525017+00:00,
X015,"Teachers’ attitudes towards chatbots in education: a technology acceptance model approach considering the effect of social language, bot proactiveness, and users’ characteristics",https://doi.org/10.1080/03055698.2020.1850426,https://academica-e.unavarra.es/bitstreams/1eefe858-7edc-4d86-acdd-15fed72ac327/download,other-oa,green,library/staging/expanded/B01/X015-Teachers-attitudes-towards-chatbots-in-education-a-technology-acceptance-model-a.pdf,false,false,0,,,,"URLError(TimeoutError(10060, 'Uma tentativa de conexão falhou porque o componente conectado não respondeu\r\ncorretamente após um período de tempo ou a conexão estabelecida falhou\r\nporque o host conectado não respondeu', None, 10060, None))"
X017,Enhancing the Academic Library Experience with Chatbots: An Exploration of Research and Implications for Practice,https://doi.org/10.1080/24750158.2019.1611694,https://www.tandfonline.com/doi/pdf/10.1080/24750158.2019.1611694?needAccess=true&role=button,other-oa,hybrid,library/staging/expanded/B01/X017-Enhancing-the-Academic-Library-Experience-with-Chatbots-An-Exploration-of-Resear.pdf,false,false,0,,,,<HTTPError 403: 'Forbidden'>
X018,Beyond Self-diagnosis: How a Chatbot-based Symptom Checker Should Respond,https://doi.org/10.1145/3589959,https://dl.acm.org/doi/pdf/10.1145/3589959,,bronze,library/staging/expanded/B01/X018-Beyond-Self-diagnosis-How-a-Chatbot-based-Symptom-Checker-Should-Respond.pdf,false,false,0,,,,<HTTPError 403: 'Forbidden'>
X023,Developing Misinformation Immunity: How to Reason-Check Fallacious News in a Human–Computer Interaction Environment,https://doi.org/10.1177/20563051221150407,https://fakenewsimmunity.liverpool.ac.uk/wp-content/uploads/2021/03/Fake-News-Immunity-Liverpool-Uni-project.pdf,cc-by,gold,library/staging/expanded/B01/X023-Developing-Misinformation-Immunity-How-to-Reason-Check-Fallacious-News-in-a-Huma.pdf,true,true,1514545,d641f9681ddd025b96ccd186c86a0bbb95f57839da350203bb9b30b1924e7221,application/pdf,2026-08-31T23:46:08.391714+00:00,
X026,Self-Diagnosis through AI-enabled Chatbot-based Symptom Checkers: User Experiences and Design Considerations,https://doi.org/10.48550/arxiv.2101.04796,https://arxiv.org/pdf/2101.04796,,green,library/staging/expanded/B01/X026-Self-Diagnosis-through-AI-enabled-Chatbot-based-Symptom-Checkers-User-Experience.pdf,true,true,734941,ef3d65df9963f1d63828ba88e378ff2fe167cd555c0b3c7b247c4ebc6587e31a,application/pdf,2026-08-31T23:46:08.929122+00:00,
X028,Effects of Emotional Expressiveness on Voice Chatbot Interactions,https://doi.org/10.1145/3543829.3543840,https://dl.acm.org/doi/pdf/10.1145/3543829.3543840,,gold,library/staging/expanded/B01/X028-Effects-of-Emotional-Expressiveness-on-Voice-Chatbot-Interactions.pdf,false,false,0,,,,<HTTPError 403: 'Forbidden'>
X030,Recommendations for Mental Health Chatbot Conversations: An Integrative Review,https://doi.org/10.1111/jan.16762,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jan.16762,other-oa,hybrid,library/staging/expanded/B01/X030-Recommendations-for-Mental-Health-Chatbot-Conversations-An-Integrative-Review.pdf,false,false,0,,,,<HTTPError 403: 'Forbidden'>
X031,Investigating politeness strategies in chatbots through the lens of Conversation Analysis,https://doi.org/10.1145/3638067.3638068,https://dl.acm.org/doi/pdf/10.1145/3638067.3638068,,gold,library/staging/expanded/B01/X031-Investigating-politeness-strategies-in-chatbots-through-the-lens-of-Conversation.pdf,false,false,0,,,,<HTTPError 403: 'Forbidden'>
X034,Beyond Anthropomorphism: Unraveling the True Priorities of Chatbot Usage in SMEs,https://doi.org/10.1145/3571884.3604315,https://dl.acm.org/doi/pdf/10.1145/3571884.3604315,,gold,library/staging/expanded/B01/X034-Beyond-Anthropomorphism-Unraveling-the-True-Priorities-of-Chatbot-Usage-in-SMEs.pdf,false,false,0,,,,<HTTPError 403: 'Forbidden'>
