corpus_id,title,doi,openaire_id,candidate_url,is_open,access_label,oa_route,license,version,hosted_by,collected_from
DCM-00572,Conversation and Design,10.4018/978-1-59904-597-9.ch005,doi_dedup___::efb82cb055465035f44ff40c1249597b,https://doi.org/10.4018/978-1-59904-597-9.ch005,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00573,Conversation Analysis Applied to User-Centred Design,10.1057/9780230316874.0016,doi_________::44ff29c2137004cce7bf8f61b3145c99,https://doi.org/10.1057/9780230316874.0016,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00574,Instructions for Design and Designs for Conversation,10.4018/978-1-59904-597-9.ch003,doi_dedup___::94fcbc65d77ba9cb3e41d9b8ccaa37ea,https://doi.org/10.4018/978-1-59904-597-9.ch003,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00575,Conversation Theory,10.4018/978-1-59904-597-9.ch008,doi_dedup___::a00035c4e3b802f4b1ef3820f0b5410f,https://doi.org/10.4018/978-1-59904-597-9.ch008,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00576,Conversation Design für gute Chatbots,10.1007/978-3-658-39645-9_1,doi_________::30a6ae222a9b348bb18a231fa64f136f,https://doi.org/10.1007/978-3-658-39645-9_1,false,CLOSED,,Springer Nature TDM,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00577,"Conversation Design: Domäne, Flow, Prototyping",10.1007/978-3-658-39645-9_5,doi_________::ebbe9c29a35ae5155c71bae4deccdd30,https://doi.org/10.1007/978-3-658-39645-9_5,false,CLOSED,,Springer Nature TDM,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00578,Design Conversation: Future Building and Consciousness Evolving,10.1007/978-0-387-75843-5_1,doi_dedup___::f9d5c6b325b005d668010bda6df67e84,https://doi.org/10.1007/978-0-387-75843-5_1,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00578,Design Conversation: Future Building and Consciousness Evolving,10.1007/978-0-387-75843-5_1,doi_dedup___::f9d5c6b325b005d668010bda6df67e84,https://dx.doi.org/10.1007/978-0-387-75843-5_1,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph
DCM-00578,Design Conversation: Future Building and Consciousness Evolving,10.1007/978-0-387-75843-5_1,doi_dedup___::f9d5c6b325b005d668010bda6df67e84,https://dx.doi.org/10.1007/978-0-387-75843-5_1,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph
DCM-00579,"Conversation Design: Sprache, Dialogstrategien, Copywriting",10.1007/978-3-658-39645-9_6,doi_________::1f94a6268a04c3a69fc218e6ac22df14,https://doi.org/10.1007/978-3-658-39645-9_6,false,CLOSED,,Springer Nature TDM,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00583,"Teaching conversation: Approach, design, procedure and process",10.1017/cbo9780511733123.011,doi_dedup___::742ae07351b6a4fa1cbda4be43c6378e,https://doi.org/10.1017/cbo9780511733123.011,false,CLOSED,,Cambridge Core User Agreement,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00584,The North End Agora: Design Conversation at the Neighborhood Level,10.1007/978-0-387-75843-5_16,doi_dedup___::3ac2023f6537ee5467cfeb2b1399e351,https://doi.org/10.1007/978-0-387-75843-5_16,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00584,The North End Agora: Design Conversation at the Neighborhood Level,10.1007/978-0-387-75843-5_16,doi_dedup___::3ac2023f6537ee5467cfeb2b1399e351,https://dx.doi.org/10.1007/978-0-387-75843-5_16,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph
DCM-00584,The North End Agora: Design Conversation at the Neighborhood Level,10.1007/978-0-387-75843-5_16,doi_dedup___::3ac2023f6537ee5467cfeb2b1399e351,https://dx.doi.org/10.1007/978-0-387-75843-5_16,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph
DCM-00585,The Conversation Movement,10.1007/978-0-387-75843-5_2,doi_dedup___::7888261b208feb5c5ce3b5c346bd9d96,https://doi.org/10.1007/978-0-387-75843-5_2,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00585,The Conversation Movement,10.1007/978-0-387-75843-5_2,doi_dedup___::7888261b208feb5c5ce3b5c346bd9d96,https://dx.doi.org/10.1007/978-0-387-75843-5_2,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph
DCM-00586,What is Conversation? How Can We Design for Effective Conversation?,10.1515/9783038212843.144,doi_________::13366804cbe3ac083850742999816c44,https://doi.org/10.1515/9783038212843.144,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00587,Making Online Bulletin Board Dialogues Work,10.4018/978-1-59904-597-9.ch011,doi_dedup___::1c60c289f3b36ff40c4d0c129bdfee0b,https://doi.org/10.4018/978-1-59904-597-9.ch011,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00587,Making Online Bulletin Board Dialogues Work,10.4018/978-1-59904-597-9.ch011,doi_dedup___::1c60c289f3b36ff40c4d0c129bdfee0b,https://dx.doi.org/10.4018/978-1-59904-597-9.ch011,false,CLOSED,,,Part of book or chapter of book,Anadolu Üniversitesi Akademik Arşiv Sistemi,Anadolu Üniversitesi Akademik Arşiv Sistemi
DCM-00587,Making Online Bulletin Board Dialogues Work,10.4018/978-1-59904-597-9.ch011,doi_dedup___::1c60c289f3b36ff40c4d0c129bdfee0b,https://hdl.handle.net/11421/11422,false,CLOSED,,,Part of book or chapter of book,Anadolu Üniversitesi Akademik Arşiv Sistemi,Anadolu Üniversitesi Akademik Arşiv Sistemi
DCM-00588,Conversation for School Change,10.4018/978-1-59904-597-9.ch018,doi_dedup___::2202ced8f5f1cff1c460a364c3358400,https://doi.org/10.4018/978-1-59904-597-9.ch018,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00589,Conversation as an Activity System: The Mediational Role of Discourse in Systems Design,10.1007/978-0-387-75843-5_15,doi_dedup___::e6381b3a5d48f94f839157d650ec6903,https://doi.org/10.1007/978-0-387-75843-5_15,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00589,Conversation as an Activity System: The Mediational Role of Discourse in Systems Design,10.1007/978-0-387-75843-5_15,doi_dedup___::e6381b3a5d48f94f839157d650ec6903,https://dx.doi.org/10.1007/978-0-387-75843-5_15,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph
DCM-00590,Conversation: Creating a Living Metaphor,10.1007/978-0-387-75843-5_6,doi_dedup___::42903ceef60fab7119e7584a281b67be,https://doi.org/10.1007/978-0-387-75843-5_6,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00590,Conversation: Creating a Living Metaphor,10.1007/978-0-387-75843-5_6,doi_dedup___::42903ceef60fab7119e7584a281b67be,https://dx.doi.org/10.1007/978-0-387-75843-5_6,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph
DCM-00591,Design Research: A Disciplined Conversation,10.2307/1511837,doi_dedup___::d213b7b66f8ac5982536bec4a6e74469,http://oro.open.ac.uk/39250/1/PDF_39250.pdf,true,OPEN,green,CC BY NC ND,Article,Design Issues,UnpayWall
DCM-00591,Design Research: A Disciplined Conversation,10.2307/1511837,doi_dedup___::d213b7b66f8ac5982536bec4a6e74469,http://oro.open.ac.uk/39250/1/PDF_39250.pdf,true,OPEN,,,Article,CORE (RIOXX-UK Aggregator),CORE (RIOXX-UK Aggregator)
DCM-00591,Design Research: A Disciplined Conversation,10.2307/1511837,doi_dedup___::d213b7b66f8ac5982536bec4a6e74469,https://doi.org/10.2307/1511837,false,,,,Article,Design Issues,Crossref
DCM-00591,Design Research: A Disciplined Conversation,10.2307/1511837,doi_dedup___::d213b7b66f8ac5982536bec4a6e74469,https://dx.doi.org/10.2307/1511837,false,,,,Article,Unknown Repository,Microsoft Academic Graph
DCM-00591,Design Research: A Disciplined Conversation,10.2307/1511837,doi_dedup___::d213b7b66f8ac5982536bec4a6e74469,https://dx.doi.org/10.2307/1511837,false,,,,Article,Unknown Repository,Microsoft Academic Graph
