candidate_id,corpus_id,expanded_id,title,doi,path,pages,encrypted,metadata_title,title_token_coverage,correspondence,text_sha256,error
DCM-00186-OA002,DCM-00186,,Is Conversational XAI All You Need? Human-AI Decision Making With a Conversational XAI Assistant,10.1145/3708359.3712133,library/staging/master-openalex/DCM-00186-OA002-Is-Conversational-XAI-All-You-Need-Human-AI-Decision-Making-With-.pdf,18,false,Is Conversational XAI All You Need? Human-AI Decision Making With a Conversational XAI Assistant,1.000,true,d9301c3a7d9474f22962a4f9686cba94d9457f9c104994a3458e9c11d7982ed1,
DCM-00298-OA002,DCM-00298,,Co-designing conversational agents: A comprehensive review and recommendations for best practices,10.1016/j.destud.2023.101230,library/staging/master-openalex/DCM-00298-OA002-Co-designing-conversational-agents-A-comprehensive-review-and-rec.pdf,46,false,Co-designing conversational agents: A comprehensive review and recommendations for best practices,1.000,true,9359feade4e37e665a906dae9bb34dbfe84deefadd21df65c372fc0ccf349638,
DCM-00331-OA003,DCM-00331,,Conversing with Objects toward Fluid Human and Artificial Identities during Life Transitions,10.1145/3772318.3790474,library/staging/master-openalex/DCM-00331-OA003-Conversing-with-Objects-toward-Fluid-Human-and-Artificial-Identit.pdf,19,false,Conversing with Objects toward Fluid Human and Artificial Identities during Life Transitions,1.000,true,25a62096e757384b0059e2d17736185b11951f435d8a4ad66af5044af6e3f47c,
DCM-00379-OA003,DCM-00379,,Investigating the Potential of a Conversational Agent (Phyllis) to Support Adolescent Health and Overcome Barriers to Physical Activity: Co-Design Study,10.2196/51571,library/staging/master-openalex/DCM-00379-OA003-Investigating-the-Potential-of-a-Conversational-Agent-Phyllis-to-.pdf,20,false,Untitled,1.000,true,c33c9b85830271f60a520afff1a4fb9a2135a146a997da6451cbff439fb1fe07,
DCM-00537-OA002,DCM-00537,,Aprendizaje adaptativo del inglés como lengua extranjera con herramientas de inteligencia artificial: una revisión sistemática de la literatura,10.30827/profesorado.v29i1.30828,library/staging/master-openalex/DCM-00537-OA002-Aprendizaje-adaptativo-del-ingl-s-como-lengua-extranjera-con-herr.pdf,24,false,,1.000,true,f02f3ff80f666a075d4c045f83dd1284a11b0a26ce6edc9757a985c19d071a53,
DCM-00582-OA001,DCM-00582,,"Design thinking and the Deanly conversation: Reflections on conversation, community, and agency",10.5204/jld.v8i3.253,library/staging/master-openalex/DCM-00582-OA001-Design-thinking-and-the-Deanly-conversation-Reflections-on-conver.pdf,24,false,Microsoft Word - 04 Campbell FINAL.docx,1.000,true,fa780c0405f9b84a29b4754e2db1996a468dd0351635305bd833783f698750e0,
DCM-00625-OA002,DCM-00625,,Conversational Agents Trust Calibration,10.1145/3543829.3544518,library/staging/master-openalex/DCM-00625-OA002-Conversational-Agents-Trust-Calibration.pdf,6,false,Conversational Agents Trust Calibration,1.000,true,dfd8349143551854c3e4a03bf2b692a124a7140df9c20d91daaa48f7e749f36c,
DCM-00690-OA002,DCM-00690,,Don't Believe The Hype!,10.1145/3405755.3406140,library/staging/master-openalex/DCM-00690-OA002-Don-t-Believe-The-Hype.pdf,4,false,,1.000,true,3f16631e09d66d5dba9ee5f018541d5aad5563707a3c6ebb41585fc9968c5cc8,
DCM-00696-OA002,DCM-00696,,A need for trust in conversational interface research,10.1145/3342775.3342809,library/staging/master-openalex/DCM-00696-OA002-A-need-for-trust-in-conversational-interface-research.pdf,3,false,A Need for Trust in Conversational Interface Research,1.000,true,85fc984f3713f010d9c97a52071c3a4dfa7c66664fa7f74bd09ef47bd726c00f,
DCM-00706-OA002,DCM-00706,,After the Interface: Relocating Human Agency in the Age of Conversational AI,10.1145/3816046.3816301,library/staging/master-openalex/DCM-00706-OA002-After-the-Interface-Relocating-Human-Agency-in-the-Age-of-Convers.pdf,7,false,After the Interface: Relocating Human Agency in the Age of Conversational AI,1.000,true,0fdc41c8a2c99678153f85be9a226f9a705d4f483c173c635debaf1f1cd2f7de,
DCM-00714-OA002,DCM-00714,,Developing A Conversational Interface for an ACT-based Online Program: Understanding Adolescents’ Expectations of Conversational Style,10.1145/3571884.3597142,library/staging/master-openalex/DCM-00714-OA002-Developing-A-Conversational-Interface-for-an-ACT-based-Online-Pro.pdf,17,false,Developing A Conversational Interface for an ACT-based Online Program: Understanding Adolescents' Expectations of Conversational Style,1.000,true,90db774a035951d40f3d91b49aaad19e5d83cbc9d4801c78e788ba46827c9431,
DCM-00726-OA001,DCM-00726,,User Experience Design: Beyond User Interface Design and Usability,10.5772/35041,library/staging/master-openalex/DCM-00726-OA001-User-Experience-Design-Beyond-User-Interface-Design-and-Usability.pdf,24,false,,1.000,true,920382464fb6845b24f6bcab3836387269ee69c448a8cc8ae2d9693a842c5269,
DCM-00744-OA001,DCM-00744,,Voice control in a graphical user interface environment; human factors implications.,10.22215/etd/1997-03657,library/staging/master-openalex/DCM-00744-OA001-Voice-control-in-a-graphical-user-interface-environment-human-fac.pdf,168,false,,0.000,false,6c179f21e6f62b629055d8ab40f454ed02e48b68563913473b857d3638e23b28,
DCM-00780-OA002,DCM-00780,,"Designing a Couples-Based Conversational Agent to Promote Safe Sex in New, Young Couples: A User-Centred Design Approach",10.1145/3640794.3665556,library/staging/master-openalex/DCM-00780-OA002-Designing-a-Couples-Based-Conversational-Agent-to-Promote-Safe-Se.pdf,12,false,,1.000,true,805ececfe3aa19187f4690b038b68b5bbb8169c478f9cefd9621fa668883f51b,
