title,doi,pdf_url,landing_url,is_oa,license,version,source,source_type,valid_pdf,correspondence,coverage,pages,bytes,sha256,local_path,error
Factors Affecting Conversation Design for Digital Political Personae,10.26686/wgtn.17148509.v1,https://openaccess.wgtn.ac.nz/articles/thesis/Factors_Affecting_Conversation_Design_for_Digital_Political_Personae/17148509/2/files/31709642.pdf,https://doi.org/10.26686/wgtn.17148509.v1,true,cc-by-nc-sa,publishedVersion,,,false,false,0,,0,,,ValueError('response-is-not-pdf')
"Form to Flow: Exploring Challenges and Roles of Conversational UX Designers in Real-world, Multi-channel Service Environments",10.1145/3610189,https://dl.acm.org/doi/pdf/10.1145/3610189,https://doi.org/10.1145/3610189,true,,publishedVersion,Proceedings of the ACM on Human-Computer Interaction,journal,false,false,0,,0,,,<HTTPError 403: 'Forbidden'>
Implementing an accessible conversational user interface,10.1145/3430263.3452431,https://oro.open.ac.uk/75438/1/ADMINS%20w4all.pdf,https://oro.open.ac.uk/75438/1/ADMINS%20w4all.pdf,false,,acceptedVersion,Open Research Online - ORO (The Open University),repository,false,false,0,,0,,,<HTTPError 403: 'Forbidden'>
Let’s Talk About CUIs: Putting Conversational User Interface Design Into Practice,10.1145/3411763.3441336,https://cronfa.swan.ac.uk/Record/cronfa56148,https://cronfa.swan.ac.uk/Record/cronfa56148,true,,submittedVersion,Cronfa (Swansea University),repository,false,false,0,,0,,,"URLError(TimeoutError(10060, 'Uma tentativa de conexão falhou porque o componente conectado não respondeu\r\ncorretamente após um período de tempo ou a conexão estabelecida falhou\r\nporque o host conectado não respondeu', None, 10060, None))"
Conversational User Interfaces to support Astronauts in Extraterrestrial Habitats,10.1145/3490632.3490673,https://dl.acm.org/doi/pdf/10.1145/3490632.3490673,https://doi.org/10.1145/3490632.3490673,true,other-oa,publishedVersion,,,false,false,0,,0,,,<HTTPError 403: 'Forbidden'>
Conversational User Interfaces to support Astronauts in Extraterrestrial Habitats,10.1145/3490632.3490673,http://www.alexandria.unisg.ch/265254/1/mum2021-39.pdf,http://www.alexandria.unisg.ch/265254/1/mum2021-39.pdf,false,,acceptedVersion,Alexandria (UniSG) (University of St.Gallen),repository,false,false,0,,0,,,<HTTPError 405: 'Not Allowed'>
Unifying Recommender Systems and Conversational User Interfaces,10.1145/3543829.3544524,https://dl.acm.org/doi/pdf/10.1145/3543829.3544524,https://doi.org/10.1145/3543829.3544524,true,,publishedVersion,,,false,false,0,,0,,,<HTTPError 403: 'Forbidden'>
"Seeking Truth, Comfort, and Connection: How Conversational User Interfaces can help Couples with Dementia Manage Reality Disjunction",10.1145/3640794.3665547,https://research.tue.nl/files/338848543/3640794.3665547.pdf,https://research.tue.nl/en/publications/dc0dd4c9-d908-4aa1-a360-9620f0c4bec4,true,cc-by,submittedVersion,TU/e Research Portal,repository,false,false,0,,0,,,<HTTPError 403: 'Forbidden'>
Voice User Interface Design,10.1007/978-1-4842-4125-7,https://link.springer.com/content/pdf/bfm:978-1-4842-4125-7/1?pdf=chapter%20toc,https://doi.org/10.1007/978-1-4842-4125-7,true,,publishedVersion,Apress eBooks,ebook platform,true,true,1.000,8,267360,cc4ac9091d3228b90558331cc869983b409398dcf06d4c2ea0b3bc63bec5828b,library\staging\openalex-alt\10.1007-978-1-4842-4125-7-c298676598.pdf,
"The TRISEC framework for optimizing conversational agent design across search, experience and credence service contexts",10.1108/josm-10-2021-0402,https://www.emerald.com/insight/content/doi/10.1108/JOSM-10-2021-0402/full/pdf?title=the-trisec-framework-for-optimizing-conversational-agent-design-across-search-experience-and-credence-service-contexts,https://doi.org/10.1108/josm-10-2021-0402,true,cc-by,publishedVersion,Journal of service management,journal,false,false,0,,0,,,<HTTPError 403: 'Forbidden'>
