record_id,title,doi,pdf_path,text_path,pages,pages_with_text,page_errors,characters,text_sha256,extraction_status
DCM-00014,MindfulDiary: Harnessing Large Language Model to Support Psychiatric Patients' Journaling,https://doi.org/10.1145/3613904.3642937,library\staging\master-arxiv\DCM-00014-AX0001-MindfulDiary-Harnessing-Large-Language-Model-to-Support-Psychiatr.pdf,extracted-text\local-only\master-arxiv\DCM-00014-AX0001-MindfulDiary-Harnessing-Large-Language-Model-to-Support-Psychiatr.txt,20,20,0,119545,9ba272ce2d64cafa6ef06c9bd948ce56c30d52fc7e00b8d0c4fbdd03e327dbde,complete
DCM-00063,CritiqueCrew: Orchestrating Multi-Perspective Conversational Design Critique,https://doi.org/10.1145/3772318.3791391,library\staging\master-arxiv\DCM-00063-AX0002-CritiqueCrew-Orchestrating-Multi-Perspective-Conversational-Desig.pdf,extracted-text\local-only\master-arxiv\DCM-00063-AX0002-CritiqueCrew-Orchestrating-Multi-Perspective-Conversational-Desig.txt,20,20,0,99907,e5ec8b4474a1bbc6acce8d3939313bd772657f4008362a9dfbadf87d20e38f27,complete
DCM-00129,The Programmer’s Assistant: Conversational Interaction with a Large Language Model for Software Development,https://doi.org/10.1145/3581641.3584037,library\staging\master-arxiv\DCM-00129-AX0003-The-Programmer-s-Assistant-Conversational-Interaction-with-a-Larg.pdf,extracted-text\local-only\master-arxiv\DCM-00129-AX0003-The-Programmer-s-Assistant-Conversational-Interaction-with-a-Larg.txt,43,43,0,148902,306dda9053f6c62aab4e2b1ff5e6c2afe47c30abf1536175a81c3deba4daa081,complete
DCM-00134,What Makes a Good Conversation? Challenges in Designing Truly Conversational Agents,https://doi.org/10.48550/arxiv.1901.06525,library\staging\master-arxiv\DCM-00134-AX0004-What-Makes-a-Good-Conversation-Challenges-in-Designing-Truly-Conv.pdf,extracted-text\local-only\master-arxiv\DCM-00134-AX0004-What-Makes-a-Good-Conversation-Challenges-in-Designing-Truly-Conv.txt,12,12,0,61963,d43af2bbddd1bfb609bf92d694fccd2b4cf74180cc62bcd481f7a62315a2e5a9,complete
DCM-00145,How do you Converse with an Analytical Chatbot? Revisiting Gricean Maxims for Designing Analytical Conversational Behavior,https://doi.org/10.1145/3491102.3501972,library\staging\master-arxiv\DCM-00145-AX0005-How-do-you-Converse-with-an-Analytical-Chatbot-Revisiting-Gricean.pdf,extracted-text\local-only\master-arxiv\DCM-00145-AX0005-How-do-you-Converse-with-an-Analytical-Chatbot-Revisiting-Gricean.txt,17,17,0,102335,f289f238269b1cf16c7fbeb6be8837633fb2f51b4b30fdeabb1293a30a336564,complete
DCM-00175,Towards Augmented Reality Driven Human-City Interaction: Current Research on Mobile Headsets and Future Challenges,https://doi.org/10.1145/3467963,library\staging\master-arxiv\DCM-00175-AX0006-Towards-Augmented-Reality-Driven-Human-City-Interaction-Current-R.pdf,extracted-text\local-only\master-arxiv\DCM-00175-AX0006-Towards-Augmented-Reality-Driven-Human-City-Interaction-Current-R.txt,39,39,0,175366,a4783443f2404ec236b6f070993fc3cdf0ba723d87e3fcf5c8ec96f4944fe849,complete
DCM-00207,Examining Humanness as a Metaphor to Design Voice User Interfaces,https://doi.org/10.1145/3640794.3665535,library\staging\master-arxiv\DCM-00207-AX0007-Examining-Humanness-as-a-Metaphor-to-Design-Voice-User-Interfaces.pdf,extracted-text\local-only\master-arxiv\DCM-00207-AX0007-Examining-Humanness-as-a-Metaphor-to-Design-Voice-User-Interfaces.txt,22,22,0,88802,235a37f1903a0b93ce0fdc3ab5716a9eb1b54d7c32a8e6b8f104f1b58d23ed6b,complete
DCM-00308,"“Alexa, Can I Program You?”: Student Perceptions of Conversational Artificial Intelligence Before and After Programming Alexa",https://doi.org/10.1145/3459990.3460730,library\staging\master-arxiv\DCM-00308-AX0008-Alexa-Can-I-Program-You-Student-Perceptions-of-Conversational-Art.pdf,extracted-text\local-only\master-arxiv\DCM-00308-AX0008-Alexa-Can-I-Program-You-Student-Perceptions-of-Conversational-Art.txt,16,16,0,58595,ddcac1e66504b651111e2ee87baee64880af40168a12c932c7e8ccf1fadc47bd,complete
DCM-00353,Conversational Agents in Therapeutic Interventions for Neurodevelopmental Disorders: A Survey,https://doi.org/10.1145/3564269,library\staging\master-arxiv\DCM-00353-AX0010-Conversational-Agents-in-Therapeutic-Interventions-for-Neurodevel.pdf,extracted-text\local-only\master-arxiv\DCM-00353-AX0010-Conversational-Agents-in-Therapeutic-Interventions-for-Neurodevel.txt,39,39,0,132007,d324d22e27d1696ec905c0a929aa9d13c0a78deec43d7afd4e658e36e4ab4aef,complete
DCM-00359,"Understanding User Preferences for Interaction Styles in Conversational Recommender System: The Predictive Role of System Qualities, User Experience, and Traits",https://doi.org/10.1145/3764687.3764722,library\staging\master-arxiv\DCM-00359-AX0009-Understanding-User-Preferences-for-Interaction-Styles-in-Conversa.pdf,extracted-text\local-only\master-arxiv\DCM-00359-AX0009-Understanding-User-Preferences-for-Interaction-Styles-in-Conversa.txt,21,21,0,76043,70ae52431a50bdade3b970b40602242d2906ce8a659b0e1a3c6468b69296872b,complete
