record_id,title,doi,pdf_path,text_path,pages,pages_with_text,page_errors,characters,text_sha256,extraction_status
DCM-00643,PROMOTING CONVERSATIONAL APIS: A CONCEPTUAL FRAMEWORK AND A METHOD FOR API DESIGN,10.17771/pucrio.acad.49982,library\staging\master-openaire\DCM-00643-OP0149-PROMOTING-CONVERSATIONAL-APIS-A-CONCEPTUAL-FRAMEWORK-AND-A-METHOD.pdf,extracted-text\local-only\master-openaire\DCM-00643-OP0149-PROMOTING-CONVERSATIONAL-APIS-A-CONCEPTUAL-FRAMEWORK-AND-A-METHOD.txt,149,149,0,319962,a86f6b1cdbbe242de76fda28626bbd68bcd99ccee13de31968fd0031e80759fe,complete
DCM-00716,A Conversational User Interface for Software Visualization,10.1109/vissoft.2017.21,library\staging\master-openaire\DCM-00716-OP0310-A-Conversational-User-Interface-for-Software-Visualization.pdf,extracted-text\local-only\master-openaire\DCM-00716-OP0310-A-Conversational-User-Interface-for-Software-Visualization.txt,5,5,0,20078,91e2637b20355dd48e4d83cfece082f38da5be32b1b8cdf5ddc46b0a780cf621,complete
DCM-00859,Towards a Metric for Automated Conversational Dialogue System Evaluation and Improvement,10.18653/v1/w19-8654,library\staging\master-openaire\DCM-00859-OP0655-Towards-a-Metric-for-Automated-Conversational-Dialogue-System-Eva.pdf,extracted-text\local-only\master-openaire\DCM-00859-OP0655-Towards-a-Metric-for-Automated-Conversational-Dialogue-System-Eva.txt,6,6,0,23547,06d2b6c6928414c234b1e03e60fd0531b4d0f2d595a26552bb98083ed7fc58b6,complete
DCM-00869,Final Rises in Task-oriented and Conversational Dialogue,10.21437/speechprosody.2014-92,library\staging\master-openaire\DCM-00869-OP0677-Final-Rises-in-Task-oriented-and-Conversational-Dialogue.pdf,extracted-text\local-only\master-openaire\DCM-00869-OP0677-Final-Rises-in-Task-oriented-and-Conversational-Dialogue.txt,6,6,0,30299,d69afe1c79a0d05fbed3408d99f68cdb9955487c459c6df5d60da43f80742753,complete
DCM-00874,Proceedings of the 1st Workshop on Document-grounded Dialogue and Conversational Question Answering (DialDoc 2021),10.18653/v1/2021.dialdoc-1,library\staging\master-openaire\DCM-00874-OP0682-Proceedings-of-the-1st-Workshop-on-Document-grounded-Dialogue-and.pdf,extracted-text\local-only\master-openaire\DCM-00874-OP0682-Proceedings-of-the-1st-Workshop-on-Document-grounded-Dialogue-and.txt,141,139,0,529763,557f5f00e0db07bbf087afcb7f2b2e7c2d256c1f089c929475089a3fafa31a78,partial-page-coverage
DCM-00893,Advancing Chatbot Experience Through a User-Centric Design and Development Approach,10.29294/ijase.12.3.2026.6325-6343,library\staging\master-openaire\DCM-00893-OP0718-Advancing-Chatbot-Experience-Through-a-User-Centric-Design-and-De.pdf,extracted-text\local-only\master-openaire\DCM-00893-OP0718-Advancing-Chatbot-Experience-Through-a-User-Centric-Design-and-De.txt,19,19,0,75153,a4e63023c0601b57a6a591e797a839c7d33c0b62db5b1a93e724d83809ba28f4,complete
DCM-00915,Design Method to Enhance Empathy for User-Centered Design: Improving the Imagination of the User Experience,10.22215/etd/2020-13882,library\staging\master-openaire\DCM-00915-OP0739-Design-Method-to-Enhance-Empathy-for-User-Centered-Design-Improvi.pdf,extracted-text\local-only\master-openaire\DCM-00915-OP0739-Design-Method-to-Enhance-Empathy-for-User-Centered-Design-Improvi.txt,114,114,0,181598,8adcdb17963670dcbdaabddee481fcaaa0a70d05f0a7d1c3fa1fe3717fc577b3,complete
DCM-00934,O HUMOR CONVERSACIONAL ENTRE AMIGOS: UMA ABORDAGEM INTERACIONAL,10.17771/pucrio.acad.14068,library\staging\master-openaire\DCM-00934-OP0759-O-HUMOR-CONVERSACIONAL-ENTRE-AMIGOS-UMA-ABORDAGEM-INTERACIONAL.pdf,extracted-text\local-only\master-openaire\DCM-00934-OP0759-O-HUMOR-CONVERSACIONAL-ENTRE-AMIGOS-UMA-ABORDAGEM-INTERACIONAL.txt,10,10,0,14873,4371543791f2bf86ca30709e39c2fef274c5934c6ca495ca6c6f6592c287feb7,complete
DCM-00958,Análisis conversacional del Discurso Procesal Penal,10.25267/pragmalinguistica.2015.i23.01,library\staging\master-openaire\DCM-00958-OP0787-An-lisis-conversacional-del-Discurso-Procesal-Penal.pdf,extracted-text\local-only\master-openaire\DCM-00958-OP0787-An-lisis-conversacional-del-Discurso-Procesal-Penal.txt,14,14,0,38588,2ceb7669a2b758d35d0494fe60808e601e5f97bdafdc46e7fcefabb9e7b8b027,complete
DCM-00964,A co-construção do humor conversacional para encobrir diferentes objetivos,10.4013/cld.2011.92.08,library\staging\master-openaire\DCM-00964-OP0796-A-co-constru-o-do-humor-conversacional-para-encobrir-diferentes-o.pdf,extracted-text\local-only\master-openaire\DCM-00964-OP0796-A-co-constru-o-do-humor-conversacional-para-encobrir-diferentes-o.txt,10,10,0,46840,0f1dba15c99919a656f555e2638034223729889c3fb8673aa39dae02b5c5b797,complete
